Customer_id;Customer_name;Address_line1
78 Binjai 1;78 Binjai 1;Jl. WAHIDIN NO.167 KM.19 BINJAI
Abadi Jaya Lubuk Pakam 1;Abadi Jaya Lubuk Pakam 1;Jl. GALANG KEL. CEMARA DEPAN GALON LUBUK PAKAM
Abang Adek Pagurawan 1;Abang Adek Pagurawan 1;Jl. JEND.A.YANI NO.28 PAGURAWAN KEC.MEDANG DERAS
Abdi Karya Alfalah 1;Abdi Karya Alfalah 1;Jl. ALVALA MEDAN
Ade Pantai Cermin 1;Ade Pantai Cermin 1;Jl. SIMPANG PANTAI CERMIN 
Adec Kabanjahe 1;Adec Kabanjahe 1;KOMPLEK RUKO PINANGSIA BLOK D NO.18 LIPPO KARAWACI - TANGGERANG 15115
Adek Abang Rantau 1;Adek Abang Rantau 1;Jl. K.DEWANTARA DEKAT RSU KEC.RANTAU SELATAN KAB.LABUHAN BATU
Adek Rantau Prapat 1;Adek Rantau Prapat 1;Jl. SIRINGO - RINGO KEC. RANTAU UTARA LABUHAN BATU
Agro Sukses Mandiri Batubara 1;Agro Sukses Mandiri Batubara 1;DUSUN 2 DESA PAHANG KEC. TALAWI (DEPAN KANTOR KEJAKSAAN)
Ahuat Tanjung Leidong 1;Ahuat Tanjung Leidong 1;Jl. H . IWAN MAKSUM TANJUNG LEIDONG KEC. KUALUH LEIDONG KAB. LABUHAN BATU UTARA
Aloy Tembung 1;Aloy Tembung 1;Jl. PASAR 6 TEMBUNG
Alwi Rantau Selatan 1;Alwi Rantau Selatan 1;Jl. BESAR TANJUNG TIRAM KEC. RANTAU SELATAN
Anang Medan 1;Anang Medan 1;Jl. ALUMANIUM KRAKATAU, MEDAN
Andi Jaya Patumbak 1;Andi Jaya Patumbak 1;Jl. PERTAHANAN UJUNG SIMP 3 PATUMBAK PASAR 7
Andre Gipsum Kisaran 1;Andre Gipsum Kisaran 1;KISARAN SIMPANG KEDAI LADANG / GUDANG MARTIMBUL
Andre Simalungun 1;Andre Simalungun 1;Jl. BESAR KEC. HUTA BAYU SIMPANG REMENGGOL
Aneka Delitua 1;Aneka Delitua 1;Jl. DELITUA SIBIRU BIRU KM 14.5 MEDAN
Anggiat Siantar 1;Anggiat Siantar 1;Jl. MURAI NO. 5 PEMATANG SIANTAR
Anisa Jaya T. Balai 1;Anisa Jaya T. Balai 1;GG. COKLAT LINGKUNGAN 4Jl. ANWAR IDRIS TANJUNG BALAI
Antara Jaya Simpang Kawat 1;Antara Jaya Simpang Kawat 1;Jl. SIMPANG KAWAT KEC.AIR BATU
Anugerah Asri Medan 1;Anugerah Asri Medan 1;Jl. PANCING 11 MARTUBUNG
Anugerah Berastagi 1;Anugerah Berastagi 1;Jl. JAMIN GINTING - BERASTAGI (VIA : PL. GUNDALINGJl. JAMIN GINTING NO 535 PASAR 2 PADANG BULAN - MEDAN)
Anugerah Jaya Tanjung Tiram 1;Anugerah Jaya Tanjung Tiram 1;Jl. SUKA MAJU SIMPANG 4 KEC.TANJUNG TIRAM
Anugerah Lestari Siantar 1;Anugerah Lestari Siantar 1;Jl. SM.RAJA NO.21 KEC. SIANTAR UTARA
Anugerah Suka Raya Medan 1;Anugerah Suka Raya Medan 1;Jl. GLUGUR RIMBUN TANJUNG ANOM
Anugrah Asri Martubung 1;Anugrah Asri Martubung 1;Jl. PANCING II MARTUBUNG
Anugrah Jaya Bagan Batu 1;Anugrah Jaya Bagan Batu 1;Jl. BUKIT PEMBANGUNAN BAGAN BATU
Anugrah Jaya Tanjung Tiram 1;Anugrah Jaya Tanjung Tiram 1;Jl. SUKA MAJU SIMPANG 4 KEC.TANJUNGTIRAM KAB.BATUBARA 
Anugrah Jaya Tanjung Tiram 2;Anugrah Jaya Tanjung Tiram 2;Jl. MERDEKA TANJUNG TIRAM, BATUBARA
Anugrah Mandiri Medan 1;Anugrah Mandiri Medan 1;MEDAN
Anugrah Siantar 1;Anugrah Siantar 1;Jl. SISINGAMANGARAJA NO. 21 PEMATANG SIANTAR
Anugrah Suka Raya Tanjung Anom 1;Anugrah Suka Raya Tanjung Anom 1;Jl. GLUGUR RIMBUN TANJUNG ANOM MEDAN
Aritha Tebing 1;Aritha Tebing 1;Jl. BATU NONGOL PIS-PIS PONDOK SENG KEC. PIS-PIS
Asbes Angsa Medan 1;Asbes Angsa Medan 1;Jl. MEDAN BINJAI KM.11,2 DEPAN SHOWROOM HONDA CITRA BUANA
Asia Jaya Pon 1;Asia Jaya Pon 1;DUSUN 1 DESA PON DEPAN MESJID MUHAMMADIYAH
Asia Maju Medan 1;Asia Maju Medan 1;Jl. SETIA BUDI NO.30 MEDAN SELAYANG
Asia Maju Rantau 1;Asia Maju Rantau 1;Jl. SM.RAJA NO.174
Bahagia Jaya By pass 1;Bahagia Jaya By pass 1;Jl. BAHAGIA BYPASS NO.15
Bahagia Residence Medan 1;Bahagia Residence Medan 1;Jl. GATOT SUBROTO BELAKANG MAKRO MEDAN
Bangun Baru Perbaungan 1;Bangun Baru Perbaungan 1;Jl. DELI NO. 15 KEC. PERBAUNGAN
Bangun Sari Batu Bara 1;Bangun Sari Batu Bara 1;Jl. BINJAI BARU/DESA BANGUN SARI SAMPING PERTAMINA KEC.TALAWI
Bangun Sari Sei Bejangkar 1;Bangun Sari Sei Bejangkar 1;Jl. LINTAS SUMATERA KM 138 SEI BEJANGKAR, BATUBARA
Bangun Utama Bagan Sinembah 1;Bangun Utama Bagan Sinembah 1;Jl. JEND. SUDIRMAN KEC. BAGAN SINEMBAH KAB. ROKAN HILIR
Bangunan Sejati Medan 1;Bangunan Sejati Medan 1;Jl. GLUGUR SEBELAH VILLA GLUGUR MAS (DEPAN SHOWROOM SUZUKI)
Bani Siantar 1;Bani Siantar 1;Jl. JENDRAL SUDIRMAN KEC.RAYA KAB.SIMALUNGUN
Barus Simalingkar 1;Barus Simalingkar 1;Jl. KARET RAYA NO. 70 PRUMNAS SIMALINGKAR
