Sales Register
ID,Posting Date,Debit To,Parent Account,Territory,Customer Details,Sales - GPB,Net Total,Arifin Trucking - GPB,Freight Cost of Sales - GPB,Miscellaneous Expenses - GPB,PPh 22  ( Non NPWP ) - GPB,PPh 22 ( NPWP ) - GPB,PPN - GPB,Prima Johan - GPB,Sales Discount - GPB,SPSI Factory - GPB,Total Tax,Grand Total
INV03718,2013-01-02,Bangun Sari Batu Bara 1,Accounts Receivable - GPB,Serkibata,,18212670.08,18212670.08,0,0,0,91063.35,0,1821267.01,0,0,0,1912330.36,20125000.44
INV03719,2013-01-02,Harapan Aulia Tembung 1,Accounts Receivable - GPB,Tatemlukam,,18438914.73,18438914.73,0,0,0,92194.57,0,1843891.47,0,0,0,1936086.04,20375000.77
INV03720,2013-01-02,Bangun Sari Batu Bara 1,Accounts Receivable - GPB,Serkibata,,18212670.08,18212670.08,0,0,0,91063.35,0,1821267.01,0,0,0,1912330.36,20125000.44
INV03721,2013-01-02,Utama Bangunan Batubara 1,Accounts Receivable - GPB,Serkibata,,17782806.7,17782806.7,0,0,0,88914.03,0,1778280.67,0,0,0,1867194.7,19650001.4
INV03722,2013-01-02,Utama Bangunan Batubara 1,Accounts Receivable - GPB,Serkibata,,17782806.7,17782806.7,0,0,0,88914.03,0,1778280.67,0,0,0,1867194.7,19650001.4
INV03723,2013-01-02,Usaha Baru Batangkuis 1,Accounts Receivable - GPB,Tatemlukam,,18212670.08,18212670.08,0,0,0,91063.35,0,1821267.01,0,0,0,1912330.36,20125000.44
INV03725,2013-01-02,Harapan Jaya Alfalah 1,Accounts Receivable - GPB,Medan,,18099548.57,18099548.57,0,0,0,90497.74,0,1809954.86,0,0,0,1900452.6,20000001.17
INV03726,2013-01-02,Sinar Jaya Perbaungan 1,Accounts Receivable - GPB,Serkibata,,18099548.57,18099548.57,0,0,0,90497.74,0,1809954.86,0,0,0,1900452.6,20000001.17
INV03727,2013-01-02,Antara Jaya Simpang Kawat 1,Accounts Receivable - GPB,Serkibata,,18212670.08,18212670.08,0,0,0,91063.35,0,1821267.01,0,0,0,1912330.36,20125000.44
INV03728,2013-01-02,Darmawan Sejahtera - GPB,Accounts Receivable - GPB,Tatemlukam,,18438914.73,18438914.73,0,0,0,92194.57,0,1843891.47,0,0,0,1936086.04,20375000.77
INV03729,2013-01-02,Tetap Jaya Kisaran 1,Accounts Receivable - GPB,Serkibata,,18099548.57,18099548.57,0,0,0,90497.74,0,1809954.86,0,0,0,1900452.6,20000001.17
INV03730,2013-01-02,Usaha Baru Batangkuis 1,Accounts Receivable - GPB,Tatemlukam,,18212670.08,18212670.08,0,0,0,91063.35,0,1821267.01,0,0,0,1912330.36,20125000.44
INV03731,2013-01-02,Indomas Kisaran 1,Accounts Receivable - GPB,Serkibata,,18212670.08,18212670.08,0,0,0,91063.35,0,1821267.01,0,0,0,1912330.36,20125000.44
INV03732,2013-01-02,Indomas Kisaran 1,Accounts Receivable - GPB,Serkibata,,18212670.08,18212670.08,0,0,0,91063.35,0,1821267.01,0,0,0,1912330.36,20125000.44
INV03733,2013-01-02,Tunas Family T. Balai 1,Accounts Receivable - GPB,Serkibata,,18099548.57,18099548.57,0,0,0,90497.74,0,1809954.86,0,0,0,1900452.6,20000001.17
